City,Cloudiness,Country,Date,Humidity,Lat,Lng,temp,Wind Speed
homer,90,US,1639988829,94,59.6425,-151.5483,-0.53,1.54
aksarka,94,RU,1639988830,93,66.5606,67.7975,-33.83,3.81
mirnyy,100,RU,1639988830,96,62.5353,113.9611,-35.2,3.22
gdov,98,RU,1639988831,80,58.7406,27.8122,-8.73,6.45
naze,39,JP,1639988832,53,28.3667,129.4833,15.51,3.05
catamarca,96,AR,1639988833,47,-28.4696,-65.7852,28.21,3.81
kyabe,0,TD,1639988833,21,9.4515,18.9449,28.81,4.17
grindavik,75,IS,1639988835,100,63.8424,-22.4338,5.26,3.09
sorong,100,ID,1639988836,79,-0.8833,131.25,27.68,3.15
tupancireta,36,BR,1639988837,67,-29.0806,-53.8358,20.68,2.1
iquique,95,CL,1639988837,80,-20.2208,-70.1431,18.02,0.78
ribeira grande,75,PT,1639988838,67,38.5167,-28.7,13.22,10.29
manavalakurichi,18,IN,1639988839,50,8.1333,77.3,32.05,3.26
mopipi,100,BW,1639988840,53,-21.1833,24.8833,23.91,6.33
palmer,1,US,1639988841,72,42.1584,-72.3287,-5.44,0.45
anisoc,16,GQ,1639988842,73,1.8658,10.7689,26.85,0.48
pevek,100,RU,1639988843,95,69.7008,170.3133,-27.68,6.59
itoman,75,JP,1639988844,57,26.1247,127.6694,18.21,2.57
saint-paul,75,RE,1639988845,74,-21.0096,55.2707,29.05,6.04
piura,100,PE,1639988845,72,-5.2,-80.6333,21.27,4.11
ihtiman,67,BG,1639988846,67,42.4333,23.8167,4.1,5.36
san quintin,3,MX,1639988847,64,30.4833,-115.95,10.8,2.23
provideniya,85,RU,1639988848,94,64.3833,-173.3,-8.27,4.97
skibbereen,100,IE,1639988849,82,51.55,-9.2667,7.89,7.51
nuevitas,17,CU,1639988850,88,21.5453,-77.2644,20.69,1.58
arrecife,20,ES,1639988850,94,28.963,-13.5477,17.99,2.57
pachino,0,IT,1639988852,70,36.7186,15.0907,9.78,5.73
acapulco,75,MX,1639988827,88,16.8634,-99.8901,23.9,1.54
uyo,77,NG,1639988853,33,5.0333,7.9266,26.79,2.39
dickinson,90,US,1639988854,78,29.4608,-95.0513,11.13,0.89
kathmandu,20,NP,1639988779,39,27.7167,85.3167,16.12,4.12
lagoa,51,PT,1639988855,64,39.05,-27.9833,13.78,13.48
mazyr,97,BY,1639988856,92,52.0495,29.2456,-0.91,4.27
yagodnoye,74,RU,1639988857,99,62.55,149.6667,-42.63,1.31
dingle,96,PH,1639988858,81,10.9995,122.6711,28.17,4.23
poya,31,NC,1639988858,81,-21.35,165.15,27.13,2.01
fort nelson,75,CA,1639988859,76,58.8053,-122.7002,-26.23,0.0
sinnamary,45,GF,1639988860,86,5.3833,-52.95,25.25,2.7
uyuni,76,BO,1639988861,73,-20.4597,-66.825,9.75,1.89
college,90,US,1639988861,89,64.8569,-147.8028,-4.19,1.54
bambous virieux,75,MU,1639988862,70,-20.3428,57.7575,30.14,5.14
belmonte,64,BR,1639988863,87,-15.8631,-38.8828,24.28,0.49
natal,40,BR,1639988865,83,-5.795,-35.2094,26.12,2.06
tiksi,100,RU,1639988861,100,71.6872,128.8694,-25.83,1.53
nanortalik,100,GL,1639988866,71,60.1432,-45.2371,5.89,15.24
svetlyy,100,RU,1639988867,68,54.675,20.1347,1.09,7.75
amapa,60,BR,1639988868,100,1.0,-52.0,21.76,0.74
novaya zaimka,98,RU,1639988869,95,56.4857,66.9241,-5.59,4.47
kozarmisleny,0,HU,1639988870,70,46.0297,18.2921,4.18,7.72
conde,75,BR,1639988870,94,-7.2597,-34.9075,24.7,1.03
berlevag,75,NO,1639988871,69,70.8578,29.0864,-2.03,9.77
severo-kurilsk,80,RU,1639988638,74,50.6789,156.125,-4.45,4.61
nuevo progreso,100,MX,1639988873,79,23.1667,-97.95,13.66,1.34
pula,0,HR,1639988874,66,44.8683,13.8481,8.31,9.77
yashkul,100,RU,1639988875,81,46.1711,45.3435,2.23,0.79
brae,97,GB,1639988875,70,60.3964,-1.353,2.95,1.4
auki,94,SB,1639988876,87,-8.7676,160.7034,26.44,3.26
the valley,38,AI,1639988877,73,18.217,-63.0578,25.05,7.79
hithadhoo,99,MV,1639988878,73,-0.6,73.0833,28.39,3.04
aklavik,100,CA,1639988878,100,68.2191,-135.0107,-16.54,3.41
varhaug,8,NO,1639988879,70,58.6147,5.6457,-4.25,3.58
misratah,100,LY,1639988880,65,32.3754,15.0925,13.81,7.1
brainerd,75,US,1639988863,74,46.358,-94.2008,-1.99,3.09
baracatan,40,PH,1639988881,70,6.9675,125.4158,29.31,2.53
mkushi,100,ZM,1639988882,93,-13.6202,29.3939,19.34,2.99
cortez,1,US,1639988883,79,37.3489,-108.5859,-1.44,2.06
deputatskiy,100,RU,1639988884,98,69.3,139.9,-30.21,2.86
camana,100,PE,1639988885,86,-16.6228,-72.7111,19.52,2.54
pochutla,100,MX,1639988886,81,15.7432,-96.4661,23.23,1.76
paralimni,100,CY,1639988887,90,35.0375,33.9833,11.9,2.24
luang prabang,1,LA,1639988888,34,19.8856,102.1347,25.98,1.03
pulaski,20,US,1639988781,93,34.7668,-92.3001,-0.65,0.0
shahreza,52,IR,1639988890,50,32.0339,51.8794,13.22,3.99
fairbanks,90,US,1639988879,89,64.8378,-147.7164,-4.81,1.54
buraydah,100,SA,1639988891,49,26.326,43.975,21.25,5.9
katobu,100,ID,1639988892,67,-4.9408,122.5276,30.3,2.35
amurzet,100,RU,1639988893,96,47.6967,131.0981,-14.28,2.76
miranda,100,CO,1639988894,95,3.2499,-76.2281,19.07,1.12
katherine,100,AU,1639988895,69,-14.4667,132.2667,28.18,1.54
east london,20,ZA,1639988896,61,-33.0153,27.9116,26.52,6.69
yar-sale,85,RU,1639988897,100,66.8333,70.8333,-31.36,4.21
mayo,0,US,1639988897,71,38.8876,-76.5119,0.53,0.45
banikoara,0,BJ,1639988898,22,11.2985,2.4386,21.24,4.85
port lincoln,0,AU,1639988812,64,-34.7333,135.8667,18.78,6.67
mahibadhoo,100,MV,1639988900,73,3.7833,72.9667,28.15,6.82
hervey bay,100,AU,1639988900,66,-25.2986,152.8535,28.06,4.5
umm kaddadah,1,SD,1639988901,18,13.6017,26.6876,21.52,8.21
vardo,75,NO,1639988902,59,70.3705,31.1107,-2.01,9.26
coos bay,90,US,1639988903,100,43.3665,-124.2179,11.24,2.06
kurilsk,88,RU,1639988904,62,45.2333,147.8833,-2.32,3.51
yaqui,0,MX,1639988905,52,27.3667,-110.1667,14.9,2.39
mareeba,100,AU,1639988905,73,-17.0,145.4333,27.49,3.83
ancud,34,CL,1639988906,94,-41.8697,-73.8203,10.79,0.6
arica,90,CL,1639988907,72,-18.475,-70.3042,19.13,0.0
santa isabel,82,BR,1639988908,94,-23.3156,-46.2214,18.7,1.41
phalodi,0,IN,1639988908,6,27.1333,72.3667,23.1,1.25
prince rupert,1,CA,1639988909,89,54.3161,-130.3201,-1.17,2.57
thompson,90,CA,1639988910,77,55.7435,-97.8558,-23.91,2.06
ouegoa,48,NC,1639988911,77,-20.35,164.4333,27.24,0.96
smithers,1,CA,1639988851,77,54.7804,-127.1743,-22.82,1.03
umuahia,67,NG,1639988913,30,5.5263,7.4896,26.55,5.41
banjar,100,ID,1639988913,79,-8.19,114.9675,26.92,1.11
boysun,6,UZ,1639988914,59,38.2061,67.1986,9.56,2.07
ramchandrapur,0,IN,1639988915,25,22.8964,88.4753,21.94,4.04
esperance,2,AU,1639988916,61,-33.8667,121.9,22.91,7.68
ostrovnoy,100,RU,1639988917,83,68.0531,39.5131,-9.4,8.06
evensk,15,RU,1639988918,74,61.95,159.2333,-29.94,3.53
verkhnyaya inta,100,RU,1639988919,80,65.9811,60.3094,-20.3,8.87
itaituba,100,BR,1639988919,99,-4.2761,-55.9836,22.67,0.81
gamba,93,GA,1639988920,80,-2.65,10.0,27.52,3.36
havre-saint-pierre,75,CA,1639988921,85,50.2334,-63.5986,-8.67,2.06
bosaso,20,SO,1639988922,83,11.2842,49.1816,25.99,7.72
beringovskiy,86,RU,1639988923,97,63.05,179.3167,-18.69,1.54
inuvik,75,CA,1639988841,78,68.3499,-133.7218,-16.52,4.12
padang,100,ID,1639988925,68,-0.9492,100.3543,29.03,1.55
saskylakh,100,RU,1639988926,97,71.9167,114.0833,-21.63,4.48
takoradi,42,GH,1639988927,70,4.8845,-1.7554,26.74,1.53
antofagasta,100,CL,1639988927,86,-23.65,-70.4,16.6,0.9
ambagarh chauki,0,IN,1639988929,14,20.7833,80.7167,23.29,2.61
komsomolskiy,100,UZ,1639988930,57,40.4272,71.7189,8.4,4.12
alyangula,40,AU,1639988931,83,-13.8483,136.4192,27.93,0.0
diamantino,100,BR,1639988931,98,-14.4086,-56.4461,22.68,1.51
pangnirtung,100,CA,1639988932,98,66.1451,-65.7125,-13.88,2.98
viedma,93,AR,1639988723,84,-40.8135,-62.9967,16.65,6.27
thinadhoo,46,MV,1639988933,72,0.5333,72.9333,27.86,2.53
bac lieu,100,VN,1639988934,59,9.285,105.7244,28.23,2.67
mapiripan,74,CO,1639988935,83,2.8892,-72.1256,22.78,1.73
denpasar,75,ID,1639988936,94,-8.65,115.2167,26.81,2.57
minas,3,UY,1639988937,92,-34.3759,-55.2377,18.62,1.84
barra,100,BR,1639988937,90,-11.0894,-43.1417,22.41,0.88
half moon bay,90,US,1639988812,89,37.4636,-122.4286,9.87,0.89
lazaro cardenas,96,MX,1639988939,79,17.9583,-102.2,24.18,1.98
kruisfontein,88,ZA,1639988939,60,-34.0033,24.7314,23.27,6.8
sungaipenuh,100,ID,1639988940,69,-2.0833,101.3833,21.61,1.17
nanning,99,CN,1639988941,60,22.8167,108.3167,13.25,2.81
erzin,100,TR,1639988942,88,36.9559,36.2,8.4,3.91
kodiak,21,US,1639988943,81,57.79,-152.4072,0.58,2.68
turtas,100,RU,1639988944,94,58.9417,69.1325,-11.66,4.52
chirongui,30,YT,1639988945,71,-12.9319,45.1483,30.96,2.02
sao sebastiao,35,BR,1639988649,89,-23.76,-45.4097,20.33,2.08
vinderei,89,RO,1639988946,69,46.15,27.8,1.7,5.71
dubti,3,ET,1639988947,40,11.7361,41.0853,28.36,3.92
green river,86,US,1639988948,71,41.5286,-109.4662,-3.78,1.08
balkanabat,0,TM,1639988949,25,39.5108,54.3671,18.49,4.34
bubaque,11,GW,1639988950,49,11.2833,-15.8333,26.29,9.75
potchefstroom,88,ZA,1639988950,48,-26.7167,27.1,22.23,1.75
tokmak,99,UA,1639988951,74,47.2514,35.7058,3.88,4.33
santa marta,100,CO,1639988953,70,11.2408,-74.199,27.21,4.47
kadhan,0,PK,1639988954,13,24.481,68.9859,26.28,1.66
caravelas,64,BR,1639988954,94,-17.7125,-39.2481,22.17,1.64
sao filipe,100,CV,1639988955,80,14.8961,-24.4956,23.24,4.05
slave lake,90,CA,1639988838,85,55.2834,-114.769,-14.01,2.06
newton,1,US,1639988956,73,42.337,-71.2092,-4.24,1.79
sobolevo,100,RU,1639988957,88,54.4299,31.8996,-6.09,5.32
sistranda,100,NO,1639988958,57,63.7256,8.834,3.28,4.83
abu kamal,6,SY,1639988959,38,34.4506,40.9171,15.9,10.16
el alto,100,PE,1639988959,78,-4.2714,-81.2147,20.24,6.43
burnie,99,AU,1639988960,76,-41.0667,145.9167,15.52,8.78
quepos,6,CR,1639988961,83,9.4236,-84.1652,27.61,1.92
impfondo,100,CG,1639988962,62,1.6381,18.0667,28.05,1.2
coihaique,0,CL,1639988963,81,-45.5752,-72.0662,8.97,1.54
airai,100,TL,1639988964,83,-8.9266,125.4092,20.73,0.54
kargasok,100,RU,1639988965,87,59.0556,80.8572,-22.39,4.27
matay,6,EG,1639988966,48,28.419,30.7792,12.64,7.14
hoquiam,90,US,1639988966,83,46.9809,-123.8893,5.01,3.09
iranshahr,0,IR,1639988967,40,27.2025,60.6848,23.19,0.0
paita,99,PE,1639988968,81,-5.0892,-81.1144,20.04,4.95
kuruman,41,ZA,1639988969,46,-27.4524,23.4325,25.0,6.39
christchurch,100,NZ,1639988895,40,-43.5333,172.6333,25.11,9.26
arlit,0,NE,1639988971,21,18.7369,7.3853,18.36,2.98
laguna,1,US,1639988972,95,38.421,-121.4238,7.34,1.54
mansa,61,IN,1639988973,8,29.9833,75.3833,20.8,2.16
ciudad bolivar,99,VE,1639988973,89,8.1222,-63.5497,23.9,3.65
itaberaba,100,BR,1639988974,97,-12.5275,-40.3069,21.19,0.92
kangaba,17,ML,1639988975,19,11.9333,-8.4167,21.82,3.75
west wendover,75,US,1639988976,80,40.7391,-114.0733,-5.44,0.0
anadyr,0,RU,1639988976,76,64.75,177.4833,-22.51,9.0
bud,6,US,1639988977,92,39.447,-86.1758,-2.6,2.32
tottori,40,JP,1639988978,57,35.5,134.2333,9.04,2.06
salekhard,100,RU,1639988979,95,66.53,66.6019,-32.59,6.01
mitsamiouli,91,KM,1639988980,66,-11.3847,43.2844,28.37,0.87
kavieng,89,PG,1639988980,74,-2.5744,150.7967,27.75,1.0
inirida,100,CO,1639988982,98,3.8653,-67.9239,22.36,0.77
nantucket,90,US,1639988911,67,41.2835,-70.0995,2.06,8.23
amboasary,100,MG,1639988983,53,-25.0333,46.3833,23.91,6.87
panguna,98,PG,1639988984,97,-6.3164,155.4848,21.95,0.83
bingerville,20,CI,1639988984,94,5.3584,-3.8869,26.52,2.06
mount gambier,90,AU,1639988985,72,-37.8333,140.7667,16.95,7.72
mehran,100,IR,1639988986,46,33.1222,46.1646,19.71,4.67
binga,88,ZW,1639988987,75,-17.6203,27.3414,24.99,5.13
walvis bay,20,NA,1639988987,68,-22.9575,14.5053,20.05,1.03
neftekamsk,100,RU,1639988990,95,56.092,54.2703,-3.81,8.04
kosikha,100,RU,1639988991,97,53.3617,84.5822,-0.57,7.74
gladstone,87,AU,1639988992,57,-23.85,151.25,27.96,4.12
tocopilla,100,CL,1639988992,80,-22.092,-70.1979,18.8,0.93
lasa,44,IT,1639988993,59,46.6166,10.7002,1.49,3.26
hofn,0,IS,1639988994,100,64.2539,-15.2082,-1.99,0.0
shu,48,KZ,1639988995,56,43.5983,73.7614,11.72,2.27
matamoros,3,MX,1639988995,78,25.5333,-103.25,7.28,1.69
abha,0,SA,1639988997,14,18.2164,42.5053,24.14,3.09
buena vista,75,US,1639988997,78,43.4203,-83.8986,-0.72,5.66
samarai,97,PG,1639988998,72,-10.6167,150.6667,28.23,2.83
anjozorobe,93,MG,1639988999,55,-18.4,47.8667,28.18,2.35
victor harbor,2,AU,1639989000,74,-35.5667,138.6167,24.55,1.34
constitucion,9,CL,1639989001,64,-35.3333,-72.4167,14.86,2.62
tezu,0,IN,1639989001,30,27.9167,96.1667,23.25,0.87
